title,popularity,vote_count,vote_average
Ad Astra,443.655,1306,6.1
Jumanji: The Next Level,386.20599999999996,319,6.8
6 Underground,296.997,417,6.5
Frozen II,201.075,1057,7.0
Once Upon a Time… in Hollywood,130.976,3263,7.5
Star Wars: The Rise of Skywalker,205.468,25,6.6
Joker,193.78400000000002,6512,8.4
Marriage Story,127.27799999999999,715,8.1
Ip Man 4: The Finale,137.514,12,5.8
The Irishman,87.22,1424,7.9
Code 8,112.245,46,7.0
It Chapter Two,96.35700000000001,2486,6.8
Rambo: Last Blood,99.896,805,5.9
Aladdin,84.723,4346,7.0
My Bakit List,169.705,0,0.0
Knives Out,85.54799999999999,690,7.9
One Piece: Stampede,86.93,102,7.4
Gundala,108.443,20,6.5
Red Shoes and the Seven Dwarfs,64.911,57,6.1
Abominable,66.581,302,6.8
Fast & Furious Presents: Hobbs & Shaw,56.066,2180,6.6
Spider-Man: Far from Home,59.49,5363,7.6
Hustlers,62.902,715,6.2
Parasite,61.157,1799,8.6
The Lion King,64.252,3906,7.1
Ready or Not,50.598,595,6.8
Steven Universe: The Movie,43.107,89,8.8
John Wick: Chapter 3 - Parabellum,51.832,3418,7.1
Terminator: Dark Fate,50.122,818,6.2
Doctor Sleep,51.873999999999995,605,7.1
Dark Phoenix,44.195,2557,6.1
Captain Marvel,42.093999999999994,7851,7.0
Ford v Ferrari,46.086999999999996,610,7.9
El Camino: A Breaking Bad Movie,50.146,1650,7.0
Klaus,43.035,598,8.3
Angel Has Fallen,46.053999999999995,832,5.8
47 Meters Down: Uncaged,35.022,316,4.7
Black Christmas,41.614,31,4.2
Toy Story 4,41.541000000000004,3203,7.6
Good Boys,40.04,494,6.6
Dolemite Is My Name,33.492,198,7.2
Cats,53.226000000000006,3,8.3
Gorillaz: Reject False Icons,30.349,2,8.0
Uncut Gems,58.81,10,9.0
Alita: Battle Angel,43.648999999999994,3898,6.9
How to Train Your Dragon: Homecoming,31.456999999999997,35,8.3
Dora and the Lost City of Gold,38.188,399,6.3
Avengers: Endgame,43.047,10488,8.3
Zombieland: Double Tap,55.54600000000001,586,7.2
Gemini Man,40.033,857,5.7
How to Train Your Dragon: The Hidden World,40.052,2811,7.7
Official Secrets,27.105999999999998,70,7.2
Judy,32.202,55,7.1
Shazam!,39.38,3879,7.0
Men in Black: International,39.329,1795,6.0
Crayon Shin-chan: Honeymoon Hurricane ~The Lost Hiroshi~,29.391,2,5.5
Last Christmas,35.156,179,7.1
Paradise Hills,27.965,51,6.1
Mob Town,26.281,2,8.0
Maleficent: Mistress of Evil,37.504,1044,7.2
Angel Falls: A Novel Holiday,49.663999999999994,1,6.0
Glass,35.294000000000004,4299,6.5
Spies in Disguise,35.579,0,0.0
Midway,30.158,157,6.6
Anna,31.039,690,6.5
Downton Abbey,30.484,284,7.0
The Goldfinch,23.643,96,6.7
Lupinranger VS Patranger VS Kyuranger,31.515,2,5.5
The Same Blood,31.703000000000003,7,6.6
Kamen Rider Zi-O the Movie: Over Quartzer!,32.510999999999996,11,6.8
Charlie's Angels,26.025,207,6.3
Recep İvedik 6,25.648000000000003,6,4.8
Godzilla: King of the Monsters,30.415,1840,6.1
Danger Close,25.355999999999998,20,6.5
Rediscovering Christmas,19.574,0,0.0
Trauma Center,27.345,19,5.4
Pokémon Detective Pikachu,31.051,2881,6.9
The Immortal,27.932,60,7.5
Hard Night Falling,25.22,3,7.0
The Secret Life of Pets 2,23.366999999999997,895,6.6
Jarhead: Law of Return,17.500999999999998,5,4.8
Killerman,15.107000000000001,7,6.1
Scary Stories to Tell in the Dark,25.046,698,6.3
1917,28.996,9,7.2
Holiday Date,15.02,0,0.0
Midsommar,24.484,1144,7.1
Richard Jewell,26.378,9,7.6
Girls und Panzer das Finale: Part II,21.796,5,3.6
Countdown,18.689,94,6.9
A Cheerful Christmas,15.543,0,0.0
The Angry Birds Movie 2,27.706999999999997,350,6.5
A Cinderella Story: Christmas Wish,21.853,165,6.8
The Addams Family,26.309,263,6.2
21 Bridges,26.733,49,6.5
Descendants 3,22.936999999999998,429,7.7
Snowbound for Christmas,13.796,0,0.0
Yesterday,21.141,1117,6.7
Rocketman,23.427,1498,7.4
A Christmas Winter Song,15.667,4,7.5
The Room,29.522,30,6.3
Avengers: Infinity War,75.228,16044,8.3
The Avengers,45.673,21073,7.7
Spider-Man: Homecoming,37.618,13023,7.4
Captain America: Civil War,38.127,15075,7.4
Iron Man,28.723,17008,7.6
Avengers: Age of Ultron,35.528,14655,7.3
Iron Man 3,28.639,15150,6.9
Sherlock Holmes: A Game of Shadows,20.797,6857,7.1
Iron Man 2,25.501,13392,6.8
The Incredible Hulk,19.967,6911,6.2
Black Widow,19.414,0,0.0
The Judge,18.229,2522,7.3
Sherlock Holmes,17.02,9646,7.2
Zodiac,17.525,5004,7.5
Tropic Thunder,14.256,3396,6.5
Natural Born Killers,12.356,1807,7.1
Kiss Kiss Bang Bang,12.692,1533,7.2
Chef,11.164,1931,7.1
U.S. Marshals,14.008,777,6.4
